Point No,X,Y
399,36022,4513
400,35892,4588
401,36022,4663
402,35892,11338
403,36022,11413
404,35892,11488
405,36022,11563
406,35892,11638
407,36022,11713
408,36152,4288
409,36282,4363
410,36152,4438
411,36282,4513
412,36152,4588
413,36282,4663
414,36152,11338
415,36282,11413
416,36152,11488
417,36152,11638
418,36282,11713
419,36412,4288
420,36542,4363
421,36412,4438
422,36412,4588
423,36542,4663
424,36412,11338
425,36542,11413
426,36412,11488
427,36542,11563
428,36412,11638
429,36542,11713
430,36672,4288
431,36672,4438
432,36672,4588
433,36672,11338
434,36672,11488
435,36672,11638
436,37062,4363
437,36932,4438
438,37062,4513
439,37062,4813
440,36932,4888
441,37062,4963
442,36932,5038
443,36932,5188
444,37062,5263
445,36932,5338
446,36932,5488
447,37062,5563
448,36932,5638
449,36932,5788
450,37062,5863
451,36932,5938
452,36932,6088
453,37062,6163
454,36932,6238
455,36932,6388
456,37062,6463
457,36932,6538
458,36932,6688
459,37062,6763
460,36932,6838
461,36932,6988
462,37062,7063
463,36932,7138
464,36932,7288
465,37062,7363
466,36932,7438
467,36932,7588
468,37062,7663
469,36932,7738
470,36932,7888
471,37062,7963
472,36932,8038
473,36932,8188
474,37062,8263
475,36932,8338
476,36932,8488
477,37062,8563
478,36932,8638
479,36932,8788
480,37062,8863
481,36932,8938
482,36932,9088
483,37062,9163
484,36932,9238
485,36932,9388
486,37062,9463
487,36932,9538
488,36932,9688
489,37062,9763
490,36932,9838
491,36932,9988
492,37062,10063
493,36932,10138
494,36932,10288
495,37062,10363
496,36932,10438
497,36932,10588
498,37062,10663
499,36932,10738
500,36932,10888
501,37062,10963
502,36932,11038
503,36932,11188
504,37062,11413
505,36932,11488
506,36932,11638
507,37062,11713
508,37192,4288
509,37192,4438
510,37192,4588
511,37192,4888
512,37192,5038
513,37192,5188
514,37192,5338
515,37192,5488
516,37192,5638
517,37192,5788
518,37192,5938
519,37192,6088
520,37192,6238
521,37192,6388
522,37192,6538
523,37192,6688
524,37192,6838
525,37192,6988
526,37192,7138
527,37192,7288
528,37192,7438
529,37192,7588
530,37192,7738
531,37192,7888
532,37192,8038
533,37192,8188
534,37192,8338
535,37192,8488
536,37192,8638
537,37192,8788
538,37192,8938
539,37192,9088
540,37192,9238
541,37192,9388
542,37192,9538
543,37192,9688
544,37192,9838
545,37192,9988
546,37192,10138
547,37192,10288
548,37192,10438
549,37192,10588
550,37192,10738
551,37192,10888
552,37192,11038
553,37192,11188
554,37192,11488
555,37192,11638
